,team,abbr,primary,secondary,tertiary,quaternary,division
1,Arizona Cardinals,ARI,#97233f,#000000,#ffb612,#a5acaf,NFC West
2,Atlanta Falcons,ATL,#a71930,#000000,#a5acaf,#a30d2d,NFC South
3,Baltimore Ravens,BAL,#241773,#000000,#9e7c0c,#c60c30,AFC North
4,Buffalo Bills,BUF,#00338d,#c60c30,#0c2e82,#d50a0a,AFC East
5,Carolina Panthers,CAR,#0085ca,#000000,#bfc0bf,#0085ca,NFC South
6,Chicago Bears,CHI,#0b162a,#c83803,#0b162a,#c83803,NFC North
7,Cincinnati Bengals,CIN,#000000,#fb4f14,#000000,#d32f1e,AFC North
8,Cleveland Browns,CLE,#fb4f14,#22150c,#a5acaf,#d32f1e,AFC North
9,Dallas Cowboys,DAL,#002244,#b0b7bc,#acc0c6,#a5acaf,NFC East
10,Denver Broncos,DEN,#002244,#fb4f14,#00234c,#ff5200,AFC West
11,Detroit Lions,DET,#005a8b,#b0b7bc,#000000,#004e89,NFC North
12,Green Bay Packers,GB,#203731,#ffb612,#1c2d25,#eead1e,NFC North
13,Houston Texans,HOU,#03202f,#a71930,#00071c,#a30d2d,AFC South
14,Indianapolis Colts,IND,#002c5f,#a5acaf,#013369,#9ba1a2,AFC South
15,Jacksonville Jaguars,JAC,#000000,#006778,#9f792c,#d7a22a,AFC South
16,Kansas City Chiefs,KC,#e31837,#ffb612,#000000,#e31837,AFC West
17,Miami Dolphins,MIA,#008e97,#f58220,#005778,#008e97,AFC East
18,Minnesota Vikings,MIN,#4f2683,#ffc62f,#e9bf9b,#000000,NFC North
19,New England Patriots,NE,#002244,#c60c30,#b0b7bc,#001532,AFC East
20,New Orleans Saints,NO,#9f8958,#000000,#9f8958,#000000,NFC South
21,New York Giants,NYG,#0b2265,#a71930,#a5acaf,#012352,NFC East
22,New York Jets,NYJ,#203731,#1c2d25,NA,NA,AFC East
23,Oakland Raiders,OAK,#a5acaf,#000000,#a6aeb0,#000000,AFC West
24,Philadelphia Eagles,PHI,#004953,#a5acaf,#acc0c6,#000000,NFC East
25,Pittsburgh Steelers,PIT,#000000,#ffb612,#c60c30,#00539b,AFC North
26,San Diego Chargers,SD,#002244,#0073cf,#ffb612,#001532,AFC West
27,Seattle Seahawks,SEA,#002244,#69be28,#a5acaf,#001532,NFC West
28,San Francisco 49ers,SF,#aa0000,#b3995d,#000000,#a5acaf,NFC West
29,St.Louis Rams,STL,#002244,#b3995d,#001532,#af925d,NFC West
30,Tampa Bay Buccaneers,TB,#d50a0a,#34302b,#000000,#ff7900,NFC South
31,Tennessee Titans,TEN,#002244,#4b92db,#c60c30,#a5acaf,AFC South
32,Washington Redskins,WAS,#773141,#ffb612,#000000,#5b2b2f,NFC East
33,Jacksonville Jaguars,JAX,#000000,#006778,#9f792c,#d7a22a,AFC South
34,Los Angeles Chargers,LAC,#002244,#0073cf,#ffb612,#001532,AFC West
35,Los Angeles Rams,LA,#002244,#b3995d,#001532,#af925d,NFC West
36,Las Vegas Raiders,LV,#a5acaf,#000000,#a6aeb0,#000000,AFC West